"","latitude","longitude","depth","mb","name","source","Country","datetime","max_yield","medium","confirmation","salvo"
"165",-21.769,-138.946,0,5.08,"Antilokos","AWE-JED","France","7/1/1982 5:02:00 PM",150,"Underground","confirmed",0
"166",-22,-139,0,NA,"Pitane","CEA/DAM","France","7/21/1982 5:13:00 PM",5,"Underground","confirmed",0
"167",-21.836,-138.896,0,5.6,"laios","AWE-JED","France","7/25/1982 6:02:00 PM",150,"Underground","confirmed",0
"168",-22,-139,0,NA,"Procris","CEA/DAM","France","11/27/1982 5:02:00 PM",5,"Underground","confirmed",0
"169",-21.819,-138.872,0,5.7,"Eurytos","AWE-JED","France","4/19/1983 6:53:00 PM",150,"Underground","confirmed",0
"170",-22,-139,0,NA,"Automedon","CEA/DAM","France","4/25/1983 5:32:59 PM",5,"Underground","confirmed",0
"171",-21.861,-138.917,0,5.87,"Cinyras","AWE-JED","France","5/25/1983 5:31:00 PM",150,"Underground","confirmed",0
"172",-22,-139,0,NA,"Burisis","CEA/DAM","France","6/18/1983 5:31:00 PM",5,"Underground","confirmed",0
"173",-21.767,-138.871,0,5.32,"Oxylos","AWE-JED","France","6/28/1983 5:46:00 PM",20,"Underground","confirmed",0
"174",-22,-139,0,NA,"Battos","CEA/DAM","France","7/20/1983 8:30:00 PM",20,"Underground","confirmed",0
"175",-21.835,-138.829,0,5.13,"Carnabon","AWE-JED","France","8/4/1983 5:14:00 PM",150,"Underground","confirmed",0
"176",-22,-139,0,NA,"Linos","CEA/DAM","France","12/3/1983 4:58:00 PM",5,"Underground","confirmed",0
"177",-21.829,-138.928,0,4.89,"Gyges","AWE-JED","France","12/7/1983 5:28:00 PM",20,"Underground","confirmed",0
"178",-22,-139,0,NA,"Demophon","CEA/DAM","France","5/8/1984 5:26:00 PM",5,"Underground","confirmed",0
"179",-21.863,-138.901,0,5.57,"Midas","AWE-JED","France","5/12/1984 5:31:00 PM",150,"Underground","confirmed",0
"180",-22,-139,0,NA,"Aristee","CEA/DAM","France","6/12/1984 5:16:00 PM",20,"Underground","confirmed",0
"181",-21.849,-138.88,0,5.28,"Echemos","AWE-JED","France","6/16/1984 5:44:00 PM",150,"Underground","confirmed",0
"182",-22.064,-138.477,0,4.49,"Machaon","AWE-JED","France","10/27/1984 5:16:00 PM",20,"Underground","confirmed",0
"183",-21.857,-138.92,0,5.64,"Acaste","AWE-JED","France","11/2/1984 8:45:00 PM",150,"Underground","confirmed",0
"184",-22,-139,0,NA,"Miletos","CEA/DAM","France","12/1/1984 4:51:00 PM",5,"Underground","confirmed",0
"185",-21.837,-138.89,0,5.56,"Memnon","AWE-JED","France","12/6/1984 5:29:00 PM",150,"Underground","confirmed",0
"186",-21.829,-138.952,0,4.51,"Cercyon","AWE-JED","France","4/30/1985 5:29:01 PM",20,"Underground","confirmed",0
"187",-21.831,-138.981,0,5.64,"Nisos","AWE-JED","France","5/8/1985 8:28:00 PM",150,"Underground","confirmed",0
"188",-21.816,-138.897,0,4.83,"Talaos","AWE-JED","France","6/3/1985 5:30:01 PM",20,"Underground","confirmed",0
"189",-22,-139,0,NA,"Erginos","CEA/DAM","France","6/7/1985 5:40:00 PM",20,"Underground","confirmed",0
"190",-22,-139,0,NA,"Hero","CEA/DAM","France","10/24/1985 5:50:00 PM",5,"Underground","confirmed",0
"191",-21.849,-138.815,0,5.3,"Codros","AWE-JED","France","10/26/1985 4:35:00 PM",150,"Underground","confirmed",0
"192",-21.802,-138.781,0,4.55,"Zetes","AWE-JED","France","11/24/1985 4:01:01 PM",20,"Underground","confirmed",0
"193",-21.856,-138.899,0,5.76,"Megaree","AWE-JED","France","11/26/1985 5:42:00 PM",150,"Underground","confirmed",0
"194",-21.725,-138.941,0,4.45,"Hyllos","AWE-JED","France","4/26/1986 5:02:01 PM",20,"Underground","confirmed",0
"195",-22,-139,0,NA,"Ceto","CEA/DAM","France","5/6/1986 4:58:00 PM",5,"Underground","confirmed",0
"196",-22,-139,0,NA,"Sthenelos","CEA/DAM","France","5/27/1986 5:15:00 PM",20,"Underground","confirmed",0
"197",-21.862,-138.949,0,5.58,"Galatee","AWE-JED","France","5/30/1986 5:25:00 PM",150,"Underground","confirmed",0
"198",-22,-139,0,NA,"hesione","CEA/DAM","France","11/10/1986 4:58:00 PM",5,"Underground","confirmed",0
"199",-21.843,-138.927,0,5.28,"Naupolis","AWE-JED","France","11/12/1986 5:02:00 PM",20,"Underground","confirmed",0
"200",-22,-139,0,NA,"Peneleos","CEA/DAM","France","12/6/1986 5:10:00 PM",5,"Underground","confirmed",0
"201",-21.833,-138.892,0,5.23,"Circe","AWE-JED","France","12/10/1986 5:15:00 PM",150,"Underground","confirmed",0
"202",-21.705,-138.581,0,4.55,"Jocaste","AWE-JED","France","5/5/1987 4:58:01 PM",20,"Underground","confirmed",0
"203",-21.85,-138.913,0,5.51,"Lycomede","AWE-JED","France","5/20/1987 5:05:00 PM",150,"Underground","confirmed",0
